Year,City,Country,latitude,longitude,attack type,Target Type,Target Sub Type,Target,Weapon Type,Weapon sub type,Terrorist Organization,motive,summary,
2012,Sopore,India,34.297023,74.478958,Facility-Infrastructure Attack,Police,Police Security Forces/Officers,Officers,Firearms,Automatic Weapon,Hizbul Mujahideen (HM),"The specific motive is unknown; however, the three coordinated attacks came one day after the 19th anniversary of a massacre in Sopore perpetrated by border guards.","01/07/2012: Six assailants attacked a police armored van with rifles in Sopore town, Jammu and Kashmir state, India. One person was killed and five injured in the attack. This was one of three coordinated attacks in Sopore on this date. The attacks came one day after the 19th anniversary of a massacre in the city perpetrated by border guards. No group claimed responsibility, but sources attributed the incident to Hizbul Mujahideen (HM).",
2012,Sopore,India,34.297023,74.478958,Facility-Infrastructure Attack,Police,Police Security Forces/Officers,Officers,Explosives/Bombs/Dynamite,Grenade,Hizbul Mujahideen (HM),"The specific motive is unknown; however, the three coordinated attacks came one day after the 19th anniversary of a massacre in Sopore perpetrated by border guards.","01/07/2012: Six assailants threw a grenade near a bus stand in Sopore town, Jammu and Kashmir state, India. One person was injured in the attack. This was one of three coordinated attacks in Sopore on this date. The attacks came one day after the 19th anniversary of a massacre in the city perpetrated by border guards. No group claimed responsibility, but sources attributed the incident to Hizbul Mujahideen (HM).",
2012,Bishnupur,India,23.079729,87.328537,Facility-Infrastructure Attack,Government (General),Government Building/Facility/Office,Congress Office,Explosives/Bombs/Dynamite,Grenade,Unknown,"The specific motive is unknown; however, a joint committee of seven groups had threatened to attack the homes of Indian National Congress workers.","01/07/2012: Attackers threw a grenade at an Indian National Congress office in Nambol Assembly, Bishnupur district, West Bengal state, India. The grenade failed to explode. No group claimed responsibility for the incident.",
2012,Lamshang,India,24.82712,93.88738,Facility-Infrastructure Attack,Government (General),Politician or Political Party Movement/Meeting/Rally,Residence of Member,Explosives/Bombs/Dynamite,Grenade,Unknown,"The specific motive is unknown; however, a joint committee of seven groups had threatened to attack homes of Indian National Congress workers.","01/08/2012: Assailants threw a grenade at the residence of an Indian National Congress Member of Legislative Assembly (MLA) in Lamshang constituency, Imphal West district, Manipur state, India. The grenade failed to explode. No group claimed responsibility for the incident.",
2012,Imphal,India,24.815115,93.936633,Facility-Infrastructure Attack,Private Citizens & Property,Political Party Member/Rally,Candidate: K. Joykishen,Explosives/Bombs/Dynamite,Grenade,People's Revolutionary Party of Kangleipak (PREPAK),"The specific motive is unknown; however, the target was a former member of the People's Revolutionary Party of Kangleipak (PREPAK) who had disobeyed the mandate of the group that no former member was allowed to contest elections.","01/10/2012: Assailants threw a grenade at the home of Trinamul Congress candidate K. Joykishen in Imphal city, Manipur state, India. Seven people were injured in the attack. No group claimed responsibility, but sources attributed the attack to members of People's Revolutionary Party of Kangleipak (PREPAK). Joykishen was a former member of PREPAK who had disobeyed the mandate of the group that no former member was allowed to contest elections.",
2012,Noonmati,India,26.189634,91.807459,Facility-Infrastructure Attack,Business,Gas/Oil,Oil Refinery,Explosives/Bombs/Dynamite,Unknown Explosive Type,United Liberation Front of Assam (ULFA),The United Liberation Front of Assam (ULFA) claimed responsibility and stated that the attack was in retaliation for the exploitation of Assam's natural resources by the Indian government.,"01/10/2012: A tanker for the Guwahati Oil Refinery exploded and caught fire in Noonmati suburb, Assam state, India. Seven workers were wounded in the explosion. The United Liberation Front of Asom (ULFA) claimed responsibility for the attack, stating that it was carried out in retaliation for the exploitation of Assam's natural resources by the Indian government. However, refinery authorities said the blast was a result of an accident.",
2012,Yairipok,India,24.6667,94.0667,Facility-Infrastructure Attack,Private Citizens & Property,Political Party Member/Rally,Candidate: Md Ali,Explosives/Bombs/Dynamite,Grenade,Unknown,"The specific motive is unknown; however, several grenades had been thrown at Indian National Congress candidates since the election date was announced.  Police stated that the Congress parties were opposing banned groups' movements..","01/10/2012: Attackers threw a grenade at Md Ali, an Indian National Congress candidate, in Yairipok, Manipur state, India. The grenade did not explode. No group claimed responsibility for the incident, and the specific motive is unknown; however, several grenades had been thrown at Congress candidates since the election date was announced. Police stated that the Congress parties were opposing banned groups' movements.",
2012,Lamlai,India,24.86697,94.07548,Facility-Infrastructure Attack,Private Citizens & Property,Political Party Member/Rally,Party Worker: Th Dhanasyam,Explosives/Bombs/Dynamite,Grenade,Unknown,"The specific motive is unknown; however, several grenades had been thrown at Indian National Congress candidates since the election date was announced.  Police stated that the Congress parties were opposing banned groups' movements..","01/10/2012: Attackers threw a grenade at Th Dhanasyam, an Indian National Congress worker, in Lamlai area, Imphal East district, Manipur state, India. Dhanasyam was not hurt in the attack. No group claimed responsibility for the incident, and the specific motive is unknown; however, several grenades had been thrown at Congress candidates since the election date was announced. Police stated that the Congress parties were opposing banned groups' movements.",
2012,Nandhavanappatty,India,10.383319,77.988854,Facility-Infrastructure Attack,Government (General),"Government Personnel (excluding police, military)","Pasupathi Pandi, Founder of Devendrakula Vellalar Federation (Political Party)",Melee,Knife or Other Sharp Object,Unknown,"The specific motive is unknown; however, the victim was known to feud with the Pannaiyar group, who were influential members of the Nadar community.  The Pannaiyar group had threatened the victim's life on previous occasions.","01/10/2012: Four people slit the throat of Pasupathi Pandian in Nandhavanappatty area, Tamil Nadu state, India. Pandian was the founder of the Devendra Kula Velalar Kootamaippu Federation. No group claimed responsibility for the incident; however, Pandian was known to feud with the Pannaiyar group, which is comprised of influential members of the Nadar community. The Pannaiyar group had threatened Pandian's life on previous occasions.",
2012,Lamlai,India,24.86697,94.07548,Facility-Infrastructure Attack,Private Citizens & Property,Political Party Member/Rally,Election Rally,Explosives/Bombs/Dynamite,Other Explosive Type,Unknown,"The specific motive is unknown; however, the Communist Party of India candidate blamed a rival political group that wanted to sabotage him.","01/11/2012: Three explosive devices detonated outside a Communist Party of India (CPI) rallying venue in Lamlai area, Manipur state, India. Three other explosive devices were found and defused. No one was injured in the attack. No group claimed responsibility, but the CPI candidate blamed rival political factions for the attack, not the committee of banned groups that had formed to protest the election.",
2012,Imphal,India,24.806299,93.948197,Facility-Infrastructure Attack,Private Citizens & Property,Political Party Member/Rally,Party Worker: Hemanta,Explosives/Bombs/Dynamite,Grenade,Unknown,"The specific motive is unknown; however, seven major opposition groups had issued a threat saying they would target Indian National Congress candidates for opposing their ideals.","01/14/2012: Assailants threw a grenade at the house of an Indian National Congress candidate in Imphal West district, Manipur state, India. The candidate was not hurt by the explosion. No group claimed responsibility for the incident; however, seven major opposition groups had issued a threat saying they would target Congress candidates for opposing their ideals.",
2012,Naharup,India,24.760803,93.964945,Facility-Infrastructure Attack,Private Citizens & Property,Political Party Member/Rally,House of Candidate: P Premananda,Explosives/Bombs/Dynamite,Remote Trigger,Unknown,"The specific motive is unknown; however, Indian National Congress members were continuously attacked leading up to the January 28, 2012 elections.","01/16/2012: A remote-controlled explosive device went off near the house of P. Premananda, a Trinamool Congress candidate, in Kongba riverbank, Naharup area, Manipur state, India. No one was injured in the attack. No group claimed responsibility for the incident; however, sources noted that Congress members had been continuously attacked leading up to the January 28, 2012 elections.",
2012,Jhoukhonom,India,24.35,93.7,Facility-Infrastructure Attack,Military,Military Unit/Patrol/Convoy,39th Battalion Patrol,Firearms,Automatic Weapon,People's Revolutionary Party of Kangleipak (PREPAK),"The specific motive is unknown; however, sources speculated that the attackers wanted to disrupt the upcoming polls in Manipur on January 28, 2012.","01/16/2012: Armed people attacked a unit of the Assam Rifles in Jhoukhonom area, Churachandpur district, Manipur state, India. The attackers killed two Rifles, injured two, and stole a rifle. A joint committee, including The People's Revolutionary Party of Kangleipak (PREPAK), People's Liberation Army (India), and the Revolutionary People's Front, claimed responsibility for the incident.",
2012,East Garo Hills district,India,25.755953,90.677305,Facility-Infrastructure Attack,Private Citizens & Property,Unnamed Civilian/Unspecified,Civilians,Unknown,0,Garo National Liberation Army,The Garo National Liberation Army claimed responsibility for the incident and had accused the three victims of spying for the police.,"01/19/2012: Assailants murdered a school teacher and two others in East Garo Hills district, Meghalaya state, India. No group claimed responsibility, but sources attributed the attack to members of the Garo National Liberation Army (GNLA). The GNLA had accused the people of spying for the police.",
2012,Garhwa,India,24.173149,83.808662,Facility-Infrastructure Attack,Police,"Police Building (headquarters, station, school)",Police Station,Explosives/Bombs/Dynamite,Land Mine,Maoists,"The Maoists at the scene of the bombing called for police to stop Operation Green Hunt, a coordinated operation across several Indian states. The Maoists also called for an end to assassinations of ""revolutionary leaders.""","01/21/2012: Attackers detonated a landmine on a convoy of police officers in the Shalo jungle between Bhandaria and Bargarh in Garhwa municipality, Jharkhand state, India. The assailants then opened fire on the surviving officers. Thirteen police officers died in the attack. Maoists claimed responsibility for the incident and called for police to stop Operation Green Hunt, a coordinated operation across several Indian states. Maoists also called for an end to assassinations of ""revolutionary leaders.""",
2012,Garhwa,India,24.173149,83.808662,Facility-Infrastructure Attack,Private Citizens & Property,Unnamed Civilian/Unspecified,Civilians,Unknown,0,Maoists,"The kidnappers demanded the destruction of the Kone, Oreya, and Saryu police checkpoints in Latehar district. They also demanded the withdrawal of security members engaged in anti-Maoist operations in Jharkhand.","01/21/2012: After setting off a landmine that killed 13 police officers, assailants abducted four individuals in Garhwa municipality, Jharkhand state, India. One of the individuals was Communist Party of India (ML-Liberation) leader Akhtar Ansari. The kidnappers demanded the destruction of the Kone, Oreya, and Saryu police checkpoints in Latehar district. They also demanded the withdrawal of security members engaged in anti-Maoist operations in Jharkhand. The resolution of the kidnapping is unknown. No group claimed responsibiity, but sources attributed the incident to Maoists.",
2012,Williamnagar,India,25.495444,90.616793,Facility-Infrastructure Attack,Private Citizens & Property,Named Civilian,Civilian: Johirul Islam,Firearms,Unknown Gun Type,Garo National Liberation Army,"The specific motive is unknown; however, a police source stated that the attack on the general marketplace was aimed at increasing fear among the population.","01/21/2012: Four assailants opened fire on a marketplace in Williamnagar area, East Garo Hills district, Meghalaya state, India. One person was injured in the attack. No group claimed responsibility, but police sources attributed the incident to Garo National Liberation Army (GNLA) members.",
2012,Imphal,India,24.781319,93.942711,Facility-Infrastructure Attack,Government (General),Politician or Political Party Movement/Meeting/Rally,House of Speaker: I. Hemchandra Singh,Explosives/Bombs/Dynamite,Unknown Explosive Type,Unknown,"The specific motive is unknown; however, seven outlawed groups had called for a ban on all campaigning by Indian National Congress candidates in the state.","01/21/2012: Assailants exploded an explosive device outside the house of I. Hemachandra, the assembly speaker for Manipur, in Singjamei neighborhood, Imphal city, Manipur state, India. One passerby was killed and three wounded in the attack. No group claimed responsibility for the incident; however, sources noted that earlier, seven outlawed groups had called for a ban on all campaigning by Indian National Congress candidates in the state.",
2012,Shubdani-Newa,India,33.916138,74.884615,Facility-Infrastructure Attack,Private Citizens & Property,Named Civilian,Civilian: Ajaz Ahmad Shah,Firearms,Handgun,Unknown,"The specific motive is unknown; however, investigations revealed that Rehman Brai, a top commander in Lashker-e-Toiba (LeT) was killed in a gunfight with government forces in the victim's home the previous October.  The attack was purportedly revenge for Brai's death.","01/24/2012: Attackers shot and killed a local businessman in his house in Shubdani-Newa area, Pulwama district, Jammu and Kashmir state, India. No group claimed responsibility for the incident, but investigations revealed that Rehman Brai, a top commander in Lashker-e-Toiba (LeT), was killed in a gunfight with government forces at the businessman's home the previous October. Sources believed that the attack was in revenge for Brai's death.",
2012,Rongkhon,India,25.497013,90.086914,Facility-Infrastructure Attack,Business,0,Engineers,Firearms,Automatic Weapon,Garo National Liberation Army,The hostages were taken to demand electricity for the three areas where members of the Garo National Liberation Army (GNLA) and their families lived.,"01/24/2012: Assailants kidnapped three Meghalaya Energy Corporation Limited engineers from their living quarters in Rongkhon area, Garo Hills district, Meghalaya state, India. One was released the same day, and the two others were released on February 4, 2012. No group claimed responsibility, but sources attributed the attack to the Garo National Liberation Army (GNLA). The hostages were released once the government ensured that the three districts primarily lived in by the GNLA would receive electricity.",
2012,Noney,India,24.855126,93.617664,Facility-Infrastructure Attack,Private Citizens & Property,Political Party Member/Rally,Party Workers,Firearms,Automatic Weapon,National Socialist Council of Nagaland-Isak-Muivah (NSCN-IM),"The specific motive is unknown; however, a Coordinating Committee of seven groups had banned the Congress Party and launched several attacks on Congress workers and candidates.","01/24/2012: Ten assailants broke into a house where four Indian National Congress workers were staying and shot them in Noney area, Manipur state, India. The three workers were injured in the attack. One worker was kidnapped as well; the outcome of the kidnapping is unknown. No group claimed responsibility, but sources attributed the attack to the National Socialist Council of Nagaland-Isak-Muivah (NSCN-IM). A Coordinating Committee of seven groups had previously banned the Congress Party and launched attacks on Congress workers and candidates.",
2012,Imphal,India,24.769186,93.937832,Facility-Infrastructure Attack,Private Citizens & Property,Unnamed Civilian/Unspecified,Civilians,Explosives/Bombs/Dynamite,Unknown Explosive Type,United National Liberation Front (UNLF),The People's Liberation Army of Manipur said that the attack was intended to disrupt the Republic Day festivities.,"01/25/2012: Two explosive devices detonated in Imphal city, Manipur state, India. No one was injured in the attack. The Manipur People's Army (MPA) faction of the United National Liberation Front (UNLF) claimed responsibility for the attack, saying that they were trying to disrupt the Republic Day festivities.",
2012,Imphal,India,24.806299,93.948197,Facility-Infrastructure Attack,Educational Institution,School/University/Educational Building,School,Explosives/Bombs/Dynamite,Remote Trigger,Unknown,"The specific motive is unknown; however, a committee of dissatisfied groups had called for a boycott of political functions and celebration of Republic Day.","01/26/2012: An explosive device detonated near Shamashakhi school area, Imphal district, Manipur state, India. No one was injured in the attack. No group claimed responsibility for the incident; however, sources noted that the blast occurred after a committee of dissatisfied groups called for a boycott of the 63rd Republic Day celebrations.",
2012,Imphal,India,24.82004,93.934295,Facility-Infrastructure Attack,Government (General),"Government Personnel (excluding police, military)",Residence of Former Official,Explosives/Bombs/Dynamite,Remote Trigger,Unknown,"The specific motive is unknown; however a group of dissatisfied groups had formed CorCom, a committee that vowed dire consequences on people who were contesting elections in Manipur.","01/27/2012: Assailants detonated an explosive device at the house of a former Manipur congress worker in Thangmeiband area, Imphal West district, Manipur state, India. The explosive device injured his wife. No group claimed responsibility for the incident.",
2012,Konkan,India,24.992846,93.996921,Facility-Infrastructure Attack,Police,Police Security Forces/Officers,Officers,Firearms,Unknown Gun Type,Unknown,"The specific motive is unknown; however, Manipur state had been rife with voter intimidation and poll violence during the state election process.","01/27/2012: Assailants attacked a polling station in Konkan area, Ukhrul district, Manipur state, India. Two Central Reserve Police Force (CRPF) officers were killed and oneinjured in the attack. The attackers also stole a police rifle. No group claimed responsibility for the incident; however, sources noted that the area had been rife with voter intimidation and violence during the state election process.",
2012,Chandel,India,24.328989,93.986769,Facility-Infrastructure Attack,Government (General),Election-related,Polling Place,Firearms,Handgun,National Socialist Council of Nagaland-Isak-Muivah (NSCN-IM),The perpetrators demanded that polling be stopped.,"01/28/2012: At least one assailant attacked a polling station in Thangpi village, Chandel district, Manipur state, India. The attacker was posing as a voter in line, demanded that polling be stopped and, when it was not, opened fire. Five people were killed, and one of the attackers was injured. No group claimed responsibility, but authorities attributed the incident to the National Socialist Council of Nagaland-Isak-Muivah (NSCN-IM).",
2012,Namtaolong,India,24.743562,93.419645,Facility-Infrastructure Attack,Private Citizens & Property,Political Party Member/Rally,Workers,Unknown,0,Zeliangrong United Front,"The specific motive is unknown; however, the attack on Indian National Congress workers came two days before the statewide Congress elections.","01/26/2012: Gunmen attacked Indian National Congress employees in Namtaolong area, Tamenglong district, Manipur state, India. One person was killed and one injured in the attack. No group claimed responsibility, but sources attributed the attack to Zeliangrong United Front (ZUF) members, noting that it occurred two days before the statewide Congress elections.",
2012,Imphal,India,24.806299,93.948197,Facility-Infrastructure Attack,Government (General),Election-related,Polling Station,Explosives/Bombs/Dynamite,Unknown Explosive Type,Unknown,"The specific motive is unknown; however, the device was discovered at a polling station on the same day as the statewide Congress elections.","01/28/2012: An explosive device was found and defused at a polling station in Khurai Chingangbam area, Imphal district, Manipur state, India. No group claimed responsibility for the attack; however, sources noted that the device was found on the same day as the statewide elections.",
2012,Sawombung,India,24.870494,94.013572,Facility-Infrastructure Attack,Government (General),Election-related,Polling Station,Explosives/Bombs/Dynamite,Unknown Explosive Type,Unknown,"The specific motive is unknown; however, the device was discovered at a polling station on the same day as the statewide Congress elections.","01/28/2012: An explosive device was found and defused at a polling station in Sawombung High School, Manipur state, India. No group claimed responsibility for the attack; however, sources noted that the device was found on the same day as the statewide elections.",
2012,Imphal,India,24.806299,93.948197,Facility-Infrastructure Attack,Government (General),Election-related,Polling Station,Explosives/Bombs/Dynamite,Unknown Explosive Type,Unknown,"The specific motive is unknown; however, the device was discovered at a polling station on the same day as the statewide Congress elections.","01/28/2012: An explosive device was found and defused at a polling station at Naoremthong High School, Imphal district, Manipur state, India. No group claimed responsibility for the attack; however, sources noted that the device was found on the same day as the statewide elections.",
2012,Imphal,India,24.806299,93.948197,Facility-Infrastructure Attack,Government (General),Election-related,Polling Station,Explosives/Bombs/Dynamite,Unknown Explosive Type,Unknown,"The specific motive is unknown; however, the device was discovered at a polling station on the same day as the statewide Congress elections.","01/28/2012: An explosive device was found and defused at a polling station at Khomidok area, Imphal district, Manipur state, India. No group claimed responsibility for the attack; however, sources noted that the device was found on the same day as the statewide elections.",
2012,Bokkingre,India,25.49546,90.61682,Facility-Infrastructure Attack,Private Citizens & Property,Laborer (General)/Occupation Identified,"Andreas Momin, former GNLA militant",Incendiary,Arson/Fire,Garo National Liberation Army,The Garo National Liberation Army (GNLA) burned the victim's house because he did not refund them the cost of the weapons he turned into the police.,"01/28/2012: Assailants burned down the house of Andreas Momin in Bokkingre billage, East Garo Hills district, Meghalaya state, India. Momin was a former member of the Garo National Liberation Army (GNLA) who had turned in his weapons to police. No group claimed responsibility, but authorities attributed the attack to the GNLA, noting that the assailants had given Momin a week to refund them the value of the weapons.",
2012,Khangabok,India,24.616199,94.007696,Facility-Infrastructure Attack,Private Citizens & Property,Political Party Member/Rally,House of Worker,Explosives/Bombs/Dynamite,Grenade,Unknown,"The specific motive is unknown; however, the attack came the day before the statewide election polls.","01/27/2012: A grenade was thrown at the home of an Indian National Congress worker in Khangabok village, Manipur state, India. Nobody was injured in the attack. No group claimed responsibility for the incident.",
2012,Qoimoh,India,33.714452,75.081289,Facility-Infrastructure Attack,Government (General),"Government Personnel (excluding police, military)","Gulzar Ahmad Dar, Village Head",Firearms,Unknown Gun Type,Unknown,"The specific motive is unknown; however, the National Conference believed that the attack was motivated by political rivalry.","02/09/2012: A village head and National Conference leader was shot dead near his home in Qoimoh town, Kulgam district, Jammu and Kashmir state, India. Another man was also wounded in the attack. No group claimed responsibility for the incident; however, the National Conference asserted that it was motivated by political rivalry.",
2012,Pollampalli,India,18.183122,81.41186,Facility-Infrastructure Attack,Police,Police Security Forces/Officers,Superintendent: D.S. Marawi,Explosives/Bombs/Dynamite,Unknown Explosive Type,Maoists,"The specific motive is unknown; however, some of the police officers were designated as enemies by the Maoists.","02/09/2012: Assailants attacked a vehicle carrying police officers by detonating an explosive device, then opening fire, in Pollampalli area, Sukma district, Bastar region, Chhattisgarh state, India. Two police officers were killed and two more wounded. Maoists claimed responsibility for the incident.",
2012,Bokkingre,India,25.49546,90.61682,Facility-Infrastructure Attack,Private Citizens & Property,Laborer (General)/Occupation Identified,Former Garo National Liberation Army (GNLA) Member: Andreas Momin,Incendiary,Arson/Fire,Garo National Liberation Army,The attack followed a Garo National Liberation Army (GNLA) warning for surrendered members to refund the costs of weapons turned over to the police.,"02/09/2012: Assailants burned down the home of a former Garo National Liberation Army (GNLA) member in Bokkingre village, Meghalaya state, India. The assailants then chased his relatives away. The GNLA claimed responsibility for the attack, which came after GNLA leaders set a seven-day deadline for surrendered members to refund the costs of weapons turned over to the police.",
2012,Janiguda,India,19.028722,82.694242,Facility-Infrastructure Attack,Military,Military Transportation/Vehicle (excluding convoys),Vehicle,Explosives/Bombs/Dynamite,Unknown Explosive Type,Maoists,The assailants stated in a letter that the attack was in retaliation for attacks that the Border Security Forces (BSF) had perpetrated on tribal members.,"02/10/2012: An explosive device detonated, targeting a passing Border Security Forces (BSF) vehicle in Janiguda village, Malkangiri district, Odisha state, India. Assailants also opened fire following the blast. Four BSF officers were killed in the attack, and another two were injured. Maoists claimed responsibility for the incident.",
2012,Giridih district,India,24.177863,86.306667,Facility-Infrastructure Attack,Business,Construction,Road Construction Company Employees,Firearms,Unknown Gun Type,Maoists,"The specific motive is unknown; however, sources suspected that the attack may have been motivated by a failure on the part of the construction company to pay rebel levies.","02/18/2012: At least 60 assailants attacked a construction site near Badbara village, Giridih district, Jharkhand state, India. The assailants set four vehicles on fire and abducted six workers. The workers were released unharmed on February 21, 2012. Maoists claimed responsibility for the incident.",
2012,Jisugittam,India,25.32656,90.563989,Facility-Infrastructure Attack,Police,Police Patrol (including vehicles and convoys),Patrol,Explosives/Bombs/Dynamite,Unknown Explosive Type,Garo National Liberation Army,"The specific motive is unknown; however, authorities suspected that the attack was motivated by the Garo National Liberation Army (GNLA)'s frustration over security forces exerting pressure on them.","02/24/2012: An explosive device detonated in Jisugittam village, South Garo Hills district, Meghalaya state, India. There were no casualties. No group claimed responsibility for the incident; however, sources suspected the Garo National Liberation Army (GNLA).",
2012,Bansamawe,India,25.61684,90.531203,Facility-Infrastructure Attack,Police,Police Security Forces/Officers,Former Constable: Warnath S. Sangma,Firearms,Unknown Gun Type,Garo National Liberation Army,"The specific motive is unknown; however, the Garo National Liberation Army (GNLA) suspected that the victim was a police informer responsible for security forces' raids conducted on their hideouts.","02/26/2012: Two gunmen shot and killed a former police constable in Bansamawe village, East Garo Hills district, Meghalaya state, India. The Garo National Liberation Army (GNLA) claimed responsibility for the attack, stating that they suspected the victim of being a police informer. However, the police denied this.",
2012,Sandarpuram,India,10.95739,76.971507,Facility-Infrastructure Attack,Violent Political Party,Party Office/Facility,Office,Incendiary,Gasoline or Alcohol,Unknown,"The specific motive is unknown; however, authorities suspected that the attack was perpetrated by extremists trying to re-establish their presence in the city 10 years after it experienced serial bombings.","02/26/2012: A kerosene bomb was thrown at the Bharatiya Janata Party office in Sandarpuram city, Tamil Nadu state, India. There were no human casualties, but a party banner was burnt. No group claimed responsibility for the attack; however authorities suspected extremists trying to re-establish their presence in the city.",
2012,Ramdapara,India,25.564932,90.225271,Facility-Infrastructure Attack,Police,Police Security Forces/Officers,Sub-Divisional Police Officer Sacheng R. Marak,Firearms,Unknown Gun Type,Garo National Liberation Army,"The specific motive is unknown; however, sources noted that the Garo National Liberation Army (GNLA) had been fighting for a territory called Garoland to be created from three districts in Meghalaya State.","02/28/2012: Ten assailants opened fire on Sub-Divisional Police Officer Sacheng R. Marak's vehicle on Ramdapara area, West Garo Hills district, Meghalaya state, India. A clash ensued, but there were no casualties. The Garo National Liberation Army (GNLA) claimed responsibility for the incident; sources noted that they had been fighting for a Garoland state to be created from three districts in Meghalaya.",
2012,Imphal East district,India,24.780654,93.967437,Facility-Infrastructure Attack,Private Citizens & Property,Political Party Member/Rally,Residence of Candidate: Elangbam Chand,Explosives/Bombs/Dynamite,Grenade,Coordination Committee (CORCOM),"While the specific motive behind the bombing of Indian National Congress candidate Elangbam Chand Singh's home is unknown, sources stated that the Coordination Committee (CorCom) had attacked Congressional candidates in the past for being against the revolutionary movement in the state.","03/03/2012: Assailants threw a grenade at the home of Indian National Congress candidate Elangbam Chand Singh in Imphal East district, Manipur state, India. There were no casualties in the attack. The Coordination Committee (CORCOM) claimed responsibility for the incident.",
2012,Baleshbahali,India,20.8167,82.5333,Facility-Infrastructure Attack,Business,Construction,Construction Vehicles,Incendiary,Arson/Fire,Communist Party of India - Maoist (CPI-Maoist),"On posters left at the damaged construction site, the Communist Party of India (Maoist) protested workers' low wages.","03/03/2012: Assailants attacked a canal extension building site in Baleshbahali village, Odisha state, India. Fifteen vehicles, including dumpers and tractors, were set on fire. The Communist Party of India (Maoist) (CPI-M) claimed responsibility for the attack via notes left on the scene, which also included statements protesting workers' low wages.",
2012,Ankadeli,India,18.856056,82.734714,Facility-Infrastructure Attack,Telecommunication,Telephone/Telegraph,Cell Phone Tower,Incendiary,Gasoline or Alcohol,Maoists,"While the specific motive behind this attack is unknown, sources speculated that it was meant to destabilize the communication system and deter police from getting information about the outlaws' movements.","03/11/2012: Four assailants set a BSNL telephone exchange and a cellular network tower on fire in the village of Ankadeli, Odisha state, India. No group claimed responsibility for the attack; however, sources attributed it to Maoists.",
2012,Patrapali,India,21.177289,83.567061,Facility-Infrastructure Attack,Business,Construction,Construction Supervisor: Mohammad Itar,Firearms,Unknown Gun Type,Communist Party of India - Maoist (CPI-Maoist),Sources indicate that the Communist Party of India: Maoist (CPI-M) accused the victim of being a police informer and taking land prohibited by Maoists.,"03/18/2012: Assailants shot and killed a contractor in Patrapali area, Odisha state, India. The victim was taken from a contracting site and held for a few hours by members of the Communist Party of India: Maoist (CPI-M), who accused the victim of being a police informer and taking land prohibited by CPI-M.",
2012,Malkangiri,India,18.364195,81.892418,Facility-Infrastructure Attack,Government (General),Government Building/Facility/Office,Panchayat office,Explosives/Bombs/Dynamite,Land Mine,Maoists,"Maoists claimed responsibility for the attack on the government building, stating that it was meant to protest ""the anti-people policies of the government"" as well as constant raids conducted by police.","03/18/2012: Attackers detonated explosive devices at the Mudulipada Panchyat office in Malkangiri town, Odisha state, India. There were no reported casualties. Maoists claimed responsibility for the attack, stating that they were protesting what they called the ""anti-people policy of the government,"" as well as raids conducted by the police.",
2012,Imphal,India,24.806291,93.948303,Facility-Infrastructure Attack,Government (General),"Government Personnel (excluding police, military)",Haokholal Hangshing,Unknown,0,Kuki National Front (KNF),"The specific motive is unknown; sources speculated, however, that the Kuki National Front's (KNF) motive may be related to a ""no confidence motion"" on the Sadar Hills Autonomous District Council against the vice chair.","03/20/2012: Assailants kidnapped the vice chair of Sadar Hills Autonomous District Council from his home in Imphal city, Manipur state, India. Two other people were also abducted at the same time. The outcome of the kidnapping is unknown. No group claimed responsibility for this incident; however, sources attributed it to the Kuki National Front (Presidium) (KNF-Presidium).",
2012,Jamui,India,24.92326,86.220238,Facility-Infrastructure Attack,Transportation,Bridge/Car Tunnel,Bridge,Explosives/Bombs/Dynamite,Unknown Explosive Type,Communist Party of India - Maoist (CPI-Maoist),"The specific motive is unknown; sources speculated, however, that Maoists bombed a bridge to warn local administrators to stop security operations against them.","03/22/2012: Assailants detonated explosive devices at a bridge in Jamui city, Bihar state, India. There were no reported casualties. This was one of three attacks in this area on this day, all of which were claimed by Communist Party of India: Maoist (CPI-M).",
2012,Unknown,India,18.813487,82.712333,Facility-Infrastructure Attack,Government (General),Politician or Political Party Movement/Meeting/Rally,Member: Jhina Hikaka,Firearms,Unknown Gun Type,Maoists,"The specific motive is unknown; however, sources noted that the Maoists initially demanded the release of 29 jailed group members and then increased their demands to the release of 70 jailed members one month later.","03/24/2012: Assailants abducted a member of the Orissa state assembly, his driver, and his bodyguard from an unknown location in Odisha state, India. The driver and the bodyguard were released on the same day, while the legislator, Jhina Hikaka, was not released until April 26, 2012. No group claimed responsibility; however, sources attributed the attack to Maoists.",
2012,Khairiput,India,18.486587,82.237957,Facility-Infrastructure Attack,Police,Police Security Forces/Officers,Sub-Inspector: Krushna Chandra Rath,Firearms,Unknown Gun Type,Maoists,"The specific motive is unknown; however, sources speculated that the attack, which occurred in a crowded marketplace near a police station, may have been intended as an open challenge to security forces conducting counterinsurgency operations","03/22/2012: Three gunmen shot and killed a sub-inspector in Khairiput area, Odisha state, India. No group claimed responsibility for this attack; however, sources attributed it to Maoists.",
